Project,Sample,Individual ID,LSIDs,Bait Set,Processing Location,Research Project Name,Initiative Name,PDO Number,Gssr Id,Product,Product Part Number,Day of Analysis Start,Day of Analysis End,Day of Last Run End Date,LCSET,Aggregated Lanes,WR ID,BAM Path,BAM Path with version,# Lanes in Aggregation,% Adapter (Al),PF Reads,PF Reads %,PF Reads Aligned,PF Reads Aligned %,Total Reads,Coverage (19 mb)
G143286,IUM_02-4295,'IUM_02-4295,BROAD:SEQUENCING_SAMPLE:1413600.0,,OnPrem,Cuomo - PCR-Free_Cryptococcus,Cuomo - PCR-Free_Cryptococcus,PDO-15042,1413600,HiSeq X Ten 2x151 Paired Lane,P-SEQ-0018,15-Jun-18,15-Jun-18,4-Jun-18,,"HH77KCCXY/1,HH77KCCXY/2,HK3TGCCXY/4",57096,/seq/picard_aggregation/G143286/IUM_02-4295/current/IUM_02-4295.bam,/seq/picard_aggregation/G143286/IUM_02-4295/v2/IUM_02-4295.bam,3,0.1645,"25,643,722",100,"23,488,205",91.5944,"25,643,722",186.6694187
G143282,IUM_77-0033,'IUM_77-0033,BROAD:SEQUENCING_SAMPLE:1413661.0,,OnPrem,Cuomo - PCR-Free_Cryptococcus,Cuomo - PCR-Free_Cryptococcus,PDO-15042,1413661,HiSeq X Ten 2x151 Paired Lane,P-SEQ-0018,15-Jun-18,15-Jun-18,4-Jun-18,,"HH77KCCXY/1,HH77KCCXY/2,HK3TGCCXY/4",57096,/seq/picard_aggregation/G143282/IUM_77-0033/current/IUM_77-0033.bam,/seq/picard_aggregation/G143282/IUM_77-0033/v2/IUM_77-0033.bam,3,0.2193,"27,950,050",100,"25,837,455",92.4415,"27,950,050",205.3397739
G143275,IUM_79-0801,'IUM_79-0801,BROAD:SEQUENCING_SAMPLE:1413604.0,,OnPrem,Cuomo - PCR-Free_Cryptococcus,Cuomo - PCR-Free_Cryptococcus,PDO-15042,1413604,HiSeq X Ten 2x151 Paired Lane,P-SEQ-0018,15-Jun-18,15-Jun-18,4-Jun-18,,"HH77KCCXY/1,HH77KCCXY/2,HK3TGCCXY/4",57096,/seq/picard_aggregation/G143275/IUM_79-0801/current/IUM_79-0801.bam,/seq/picard_aggregation/G143275/IUM_79-0801/v2/IUM_79-0801.bam,3,0.4086,"38,785,486",100,"32,423,090",83.5959,"38,785,486",257.6782416
G143276,IUM_93-1656,'IUM_93-1656,BROAD:SEQUENCING_SAMPLE:1413641.0,,OnPrem,Cuomo - PCR-Free_Cryptococcus,Cuomo - PCR-Free_Cryptococcus,PDO-15042,1413641,HiSeq X Ten 2x151 Paired Lane,P-SEQ-0018,15-Jun-18,15-Jun-18,4-Jun-18,,"HH77KCCXY/1,HH77KCCXY/2,HK3TGCCXY/4",57096,/seq/picard_aggregation/G143276/IUM_93-1656/current/IUM_93-1656.bam,/seq/picard_aggregation/G143276/IUM_93-1656/v2/IUM_93-1656.bam,3,0.6113,"32,548,016",100,"29,608,404",90.9684,"32,548,016",235.3088949
G143274,IUM_98-2742,'IUM_98-2742,BROAD:SEQUENCING_SAMPLE:1413644.0,,OnPrem,Cuomo - PCR-Free_Cryptococcus,Cuomo - PCR-Free_Cryptococcus,PDO-15042,1413644,HiSeq X Ten 2x151 Paired Lane,P-SEQ-0018,15-Jun-18,15-Jun-18,4-Jun-18,,"HH77KCCXY/1,HH77KCCXY/2,HK3TGCCXY/4",57096,/seq/picard_aggregation/G143274/IUM_98-2742/current/IUM_98-2742.bam,/seq/picard_aggregation/G143274/IUM_98-2742/v2/IUM_98-2742.bam,3,0.0633,"32,129,292",100,"28,897,283",89.9406,"32,129,292",229.6573544
G143285,IUM_98-4987,'IUM_98-4987,BROAD:SEQUENCING_SAMPLE:1413607.0,,OnPrem,Cuomo - PCR-Free_Cryptococcus,Cuomo - PCR-Free_Cryptococcus,PDO-15042,1413607,HiSeq X Ten 2x151 Paired Lane,P-SEQ-0018,15-Jun-18,15-Jun-18,4-Jun-18,,"HH77KCCXY/1,HH77KCCXY/2,HK3TGCCXY/4",57096,/seq/picard_aggregation/G143285/IUM_98-4987/current/IUM_98-4987.bam,/seq/picard_aggregation/G143285/IUM_98-4987/v2/IUM_98-4987.bam,3,0.1235,"17,580,030",100,"16,029,802",91.1819,"17,580,030",127.3947422
G143280,IUM_98-5036,'IUM_98-5036,BROAD:SEQUENCING_SAMPLE:1413617.0,,OnPrem,Cuomo - PCR-Free_Cryptococcus,Cuomo - PCR-Free_Cryptococcus,PDO-15042,1413617,HiSeq X Ten 2x151 Paired Lane,P-SEQ-0018,15-Jun-18,15-Jun-18,4-Jun-18,,"HH77KCCXY/1,HH77KCCXY/2,HK3TGCCXY/4",57096,/seq/picard_aggregation/G143280/IUM_98-5036/current/IUM_98-5036.bam,/seq/picard_aggregation/G143280/IUM_98-5036/v2/IUM_98-5036.bam,3,0.2929,"22,649,072",100,"20,485,375",90.4469,"22,649,072",162.8048224
G143278,M9112,'M9112,BROAD:SEQUENCING_SAMPLE:1413584.0,,OnPrem,Cuomo - PCR-Free_Cryptococcus,Cuomo - PCR-Free_Cryptococcus,PDO-15042,1413584,HiSeq X Ten 2x151 Paired Lane,P-SEQ-0018,15-Jun-18,15-Jun-18,4-Jun-18,,"HH77KCCXY/1,HH77KCCXY/2,HK3TGCCXY/4",57096,/seq/picard_aggregation/G143278/M9112/current/M9112.bam,/seq/picard_aggregation/G143278/M9112/v2/M9112.bam,3,0.1205,"36,120,900",100,"33,499,180",92.7418,"36,120,900",266.2303253
G143283,NIH-430,'NIH-430,BROAD:SEQUENCING_SAMPLE:1413619.0,,OnPrem,Cuomo - PCR-Free_Cryptococcus,Cuomo - PCR-Free_Cryptococcus,PDO-15042,1413619,HiSeq X Ten 2x151 Paired Lane,P-SEQ-0018,15-Jun-18,15-Jun-18,4-Jun-18,,"HH77KCCXY/1,HH77KCCXY/2,HK3TGCCXY/4",57096,/seq/picard_aggregation/G143283/NIH-430/current/NIH-430.bam,/seq/picard_aggregation/G143283/NIH-430/v2/NIH-430.bam,3,0.5065,"26,457,490",100,"24,251,756",91.6631,"26,457,490",192.7376398
G143281,PD32,'PD32,BROAD:SEQUENCING_SAMPLE:1413588.0,,OnPrem,Cuomo - PCR-Free_Cryptococcus,Cuomo - PCR-Free_Cryptococcus,PDO-15042,1413588,HiSeq X Ten 2x151 Paired Lane,P-SEQ-0018,15-Jun-18,15-Jun-18,4-Jun-18,,"HH77KCCXY/1,HH77KCCXY/2,HK3TGCCXY/4",57096,/seq/picard_aggregation/G143281/PD32/current/PD32.bam,/seq/picard_aggregation/G143281/PD32/v2/PD32.bam,3,0.9142,"15,813,414",100,"14,596,004",92.3014,"15,813,414",115.9998213
G143277,TRNCGB1H01-1,'TRNCGB1H01-1,BROAD:SEQUENCING_SAMPLE:1413642.0,,OnPrem,Cuomo - PCR-Free_Cryptococcus,Cuomo - PCR-Free_Cryptococcus,PDO-15042,1413642,HiSeq X Ten 2x151 Paired Lane,P-SEQ-0018,15-Jun-18,15-Jun-18,4-Jun-18,,"HH77KCCXY/1,HH77KCCXY/2,HK3TGCCXY/4",57096,/seq/picard_aggregation/G143277/TRNCGB1H01-1/current/TRNCGB1H01-1.bam,/seq/picard_aggregation/G143277/TRNCGB1H01-1/v2/TRNCGB1H01-1.bam,3,0.4325,"38,244,140",100,"30,493,467",79.7337,"38,244,140",242.3428167
